Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTConfidence,GPTReasoningSummary,GPTError
Stadsstraten,Major streets,https://maps.amsterdam.nl/open_geodata/?k=275,https://maps.amsterdam.nl/stadsstraat,STADSSTRAAT,LineDS,ObjectDS,0.92,"LineString features define a line layer, and the decisive rule is major street features: connected road objects rather than a network flow or numeric measure.",
Stadswarmtekoude - transport,District heating cooling - transport,https://maps.amsterdam.nl/open_geodata/?k=224,https://maps.amsterdam.nl/stadswarmtekoude,STADSWARMTEKOUDE_TRANSPORT,LineDS,AmountDS,0.97,"Line geometry and the title/attributes indicate district heating/cooling transport infrastructure; by the network rule this is a transport/utility line system, with status categories as supporting attributes.",
Stadswarmtekoude - wijk,District heating cooling - neighbourhood,https://maps.amsterdam.nl/open_geodata/?k=301,https://maps.amsterdam.nl/stadswarmtekoude,STADSWARMTEKOUDE_WIJK,PlainVectorRegion,PatchDS,0.89,"Polygon areas mark district heating/cooling zones with construction/operation status; they are selected bounded service areas, not a reporting tessellation or full-area coverage, so PlainVectorRegion + PatchDS.",
Woningbouwplannen - Strategische ruimte en Verkenning,Housing plans - Strategic space,https://maps.amsterdam.nl/open_geodata/?k=226,https://maps.amsterdam.nl/woningbouwplannen,STRATEGISCHERUIMTE,PlainVectorRegion,AmountDS,0.96,"Polygon project areas for housing plans; not a full tessellation, so PlainVectorRegion. Main meaning is numeric housing capacity (Aantal_woningen_max), so AmountDS.",
Streekproducten,Local farming products,https://maps.amsterdam.nl/open_geodata/?k=58,https://maps.amsterdam.nl/streekproducten,STREEKPRODUCTEN,PointDS,ObjectDS,0.98,"Point features marking named local farming product businesses/places; classification follows point geometry and identifiable real-world objects (not amounts, events, or network).",
Tram- en metrolijnen 2018,Tram and metro lines 2018,https://maps.amsterdam.nl/open_geodata/?k=321,https://maps.amsterdam.nl/trammetro,TRAMMETRO_LIJNEN_2018,LineDS,EventDS,0.96,"LineString features represent tram and metro routes, so geometry is LineDS. By the network/route-system rule, the main phenomenon is connected transport lines rather than objects or areas.",
Tram- en metrolijnen 2020,Tram and metro lines 2020,https://maps.amsterdam.nl/open_geodata/?k=220,https://maps.amsterdam.nl/trammetro,TRAMMETRO_LIJNEN_2020,LineDS,ObjectDS,0.97,"LineString geometry and the layer title indicate tram and metro lines; this is a connected transport network, but among the allowed entity labels the best fit is ObjectDS for distinct linear features.",
Tramhaltes en metrostations 2018,Tram stops and metro stations 2018,https://maps.amsterdam.nl/open_geodata/?k=322,https://maps.amsterdam.nl/trammetro,TRAMMETRO_PUNTEN_2018,PointDS,ObjectDS,0.99,"Point geometry and the layer is a list of tram stops and metro stations, so the decisive rule is object points representing real-world transit facilities.",
Tramhaltes en metrostations 2020,Tram stops and metro stations 2020,https://maps.amsterdam.nl/open_geodata/?k=221,https://maps.amsterdam.nl/trammetro,TRAMMETRO_PUNTEN_2020,PointDS,ObjectDS,0.99,"Point geometry with named tram stops and metro stations; each point is a distinct transit facility/object, not a measurement or event.",
Verkeerslichten,Traffic lights,https://maps.amsterdam.nl/open_geodata/?k=61,https://maps.amsterdam.nl/verkeerslichten,VERKEERSLICHTEN,PointDS,ObjectDS,0.98,"Point features represent individual traffic light intersections/objects; not a network, amount, or event. Decisive rule: point geometry with identifiable real-world objects.",
Verkeersprognoses,Traffic prognosis,https://maps.amsterdam.nl/open_geodata/?k=253,https://maps.amsterdam.nl/verkeersprognoses,VERKEERSPROGNOSE,LineDS,AmountDS,0.98,"Line geometries represent road links in a traffic prognosis network, and the attributes are numeric traffic volumes by time period; network/amount rules apply.",
Verkiezingen Tweede Kamer 2017,Elections Parliament 2017,https://maps.amsterdam.nl/open_geodata/?k=217,https://maps.amsterdam.nl/verkiezingen2017,VERKIEZINGEN2017,PointDS,AmountDS,0.98,"Point features mark election polling places, and the main meaning is numeric vote/turnout magnitude at each location (amount-based election results).",
Vervangen bomen,Tree replacement,https://maps.amsterdam.nl/open_geodata/?k=296,https://maps.amsterdam.nl/vervangen_bomen,VERVANGENBOMEN,PointDS,ObjectDS,0.98,"Point features mark individual trees with ID, species, planting year, and size classes; this is a set of identifiable real-world objects, not a network or amount.",
Verkeersinformatiesystemen,Traffic Information Systems,https://maps.amsterdam.nl/open_geodata/?k=182,https://maps.amsterdam.nl/vis,VIS,PointDS,ObjectDS,0.98,"Point features representing identifiable traffic information system devices (e.g., cameras, displays, sensors); this is an object layer, not a measurement or event layer.",
Verkeersinformatiesystemen - BFA,Traffic Information Systems - BFA,https://maps.amsterdam.nl/open_geodata/?k=266,https://maps.amsterdam.nl/vis,VIS_BFA,PointDS,ObjectDS,0.98,Point features marking individual traffic information system installations (BFA devices); decisive rule is identifiable real-world objects at point locations.,
Broedende vogels,Breeding birds,https://maps.amsterdam.nl/open_geodata/?k=87,https://maps.amsterdam.nl/vogels,VOGELS,PointDS,AmountDS,0.94,"Point features mark bird nesting locations, and the main meaning is numeric magnitude via per-year counts (Aantal_2011–2020), so this is PointDS with AmountDS.",
Vondelpark zitbanken,Vondelpark benches,https://maps.amsterdam.nl/open_geodata/?k=248,https://maps.amsterdam.nl/vondelpark_zitbanken,VONDELPARK_ZITBANKEN,PointDS,ObjectDS,0.99,"Point features mark individual benches in Vondelpark; the decisive rule is identifiable real-world object, not measurement or event.",
Walkability,Walkability,https://maps.amsterdam.nl/open_geodata/?k=298,https://maps.amsterdam.nl/walkability,WALKABILITY,LineDS,AmountDS,0.97,"LineString street segments indicate LineDS. The layer rates walkability and crowding with ordinal magnitude categories (e.g., goed, matig, druk), so the main meaning is an amount/intensity classification rather than objects or events.",
Wandkunst,Wall art,https://maps.amsterdam.nl/open_geodata/?k=272,https://maps.amsterdam.nl/wandkunst,WANDKUNST,PointDS,ObjectDS,0.98,"Point geometry with 226 distinct wall-art artworks at building addresses; each feature is an identifiable real-world object, so ObjectDS fits best.",
Welstandniveaus bebouwing,Wealth levels building,https://maps.amsterdam.nl/open_geodata/?k=173,https://maps.amsterdam.nl/welstand,WELSTAND_NIVEAUS,VectorTessellation,CoverageDS,0.95,"Polygon layer of area-wide welstandniveaus; the regions form a thematic classification over the study area, so this is a tessellation with coverage semantics.",
Welstandsystemen bebouwing,Wealth systems building,https://maps.amsterdam.nl/open_geodata/?k=174,https://maps.amsterdam.nl/welstand,WELSTAND_SYSTEMEN,VectorTessellation,CoverageDS,0.96,Polygon layer of building/urban style systems that categorizes the whole area into thematic classes; this fits a near-complete tessellation and a full-area coverage classification.,
Amsterdam onder vuur in WOII,Amsterdam under attack in WWII,https://maps.amsterdam.nl/open_geodata/?k=100,https://maps.amsterdam.nl/woii,WOII,PointDS,EventDS,0.98,Point features mark WWII attack/incidents at addresses; the decisive rule is point geometry with event-based meaning (something that happened at a place and date).,
Woningbouwplannen,Housing plans,https://maps.amsterdam.nl/open_geodata/?k=142,https://maps.amsterdam.nl/woningbouwplannen,WONINGBOUWPLANNEN,PlainVectorRegion,PatchDS,0.91,"Polygon areas represent individual housing project/planning zones, not a full tessellation or reporting grid. Main meaning is bounded development plan patches with housing counts as attributes, so PatchDS fits best.",
Zelfbouwkavels,Do-it-yourself plots,https://maps.amsterdam.nl/open_geodata/?k=60,https://maps.amsterdam.nl/zelfbouwkavels,ZELFBOUWKAVELS,PointDS,ObjectDS,0.97,"Point features mark individual self-build plot projects/locations; the layer is about identifiable real-world objects (project sites), not measurements or events.",
Zonnepanelen op erfgoed,Solar panels on heritage,https://maps.amsterdam.nl/open_geodata/?k=320,https://maps.amsterdam.nl/zonnedaken_erfgoed,ZONNEDAKEN_ERFGOED,VectorTessellation,CoverageDS,0.94,"Polygon layer uses a near-area-wide categorical classification by Categorie (historical/attention classes), so the decisive rule is full-area thematic classification -> CoverageDS; polygons function as a tessellation of mapped areas.",
Zonnepanelen,Solar panels,https://maps.amsterdam.nl/open_geodata/?k=251,https://maps.amsterdam.nl/zonnepanelen,ZONNEPANELEN2017,PointDS,AmountDS,0.97,"Point features represent solar panel locations; attributes are numeric counts and capacity (gedetecteerde_panelen, vermogen), so the decisive rule is point data with main meaning as amount.",
Zwemwater,Swimming water,https://maps.amsterdam.nl/open_geodata/?k=218,https://maps.amsterdam.nl/zwemwater,ZWEMWATER,PointDS,ObjectDS,0.98,"Point features mark named swimming locations and facilities (e.g., beaches, pools), so the layer is best treated as identifiable objects rather than measures or events.",
